Datetime,Frequency per Minute,Activity Level
2023-02-19 14:16:56,989,Moderate Activity
2023-02-19 14:17:56,1137,High Activity
2023-02-19 14:18:56,1026,High Activity
2023-02-19 14:19:56,1035,High Activity
2023-02-19 14:20:56,1002,High Activity
2023-02-19 14:21:56,993,Moderate Activity
2023-02-19 14:22:56,1117,High Activity
2023-02-19 14:23:56,1002,High Activity
2023-02-19 14:24:56,732,Moderate Activity
2023-02-19 14:25:56,898,Moderate Activity
2023-02-19 14:26:56,888,Moderate Activity
2023-02-19 14:27:56,745,Moderate Activity
2023-02-19 14:28:56,845,Moderate Activity
2023-02-19 14:29:56,747,Moderate Activity
2023-02-19 14:30:56,969,Moderate Activity
2023-02-19 14:31:56,1019,High Activity
2023-02-19 14:32:56,709,Moderate Activity
2023-02-19 14:33:56,635,Moderate Activity
2023-02-19 14:34:56,644,Moderate Activity
2023-02-19 14:35:56,475,Low Activity
2023-02-19 14:36:56,984,Moderate Activity
2023-02-19 14:37:56,892,Moderate Activity
2023-02-19 14:38:56,911,Moderate Activity
2023-02-19 14:39:56,1102,High Activity
2023-02-19 14:40:56,876,Moderate Activity
2023-02-19 14:41:56,772,Moderate Activity
2023-02-19 14:42:56,113,Low Activity
2023-02-19 14:43:56,160,Low Activity
2023-02-19 14:44:56,62,Low Activity
2023-02-19 14:45:56,189,Low Activity
2023-02-19 14:46:56,468,Low Activity
2023-02-19 14:47:56,235,Low Activity
2023-02-19 14:48:56,291,Low Activity
2023-02-19 14:49:56,280,Low Activity
2023-02-19 14:50:56,397,Low Activity
2023-02-19 14:51:56,198,Low Activity
2023-02-19 14:52:56,123,Low Activity
2023-02-19 14:53:56,168,Low Activity
2023-02-19 14:54:56,421,Low Activity
2023-02-19 14:55:56,442,Low Activity
2023-02-19 14:56:56,393,Low Activity
2023-02-19 14:57:56,172,Low Activity
2023-02-19 14:58:56,218,Low Activity
2023-02-19 14:59:56,325,Low Activity
2023-02-19 15:00:56,455,Low Activity
2023-02-19 15:01:56,489,Low Activity
2023-02-19 15:02:56,531,Moderate Activity
2023-02-19 15:03:56,370,Low Activity
2023-02-19 15:04:56,1021,High Activity
2023-02-19 15:05:56,786,Moderate Activity
2023-02-19 15:06:56,537,Moderate Activity
2023-02-19 15:07:56,676,Moderate Activity
2023-02-19 15:08:56,698,Moderate Activity
2023-02-19 15:09:56,871,Moderate Activity
2023-02-19 15:10:56,933,Moderate Activity
2023-02-19 15:11:56,186,Low Activity
2023-02-19 15:12:56,109,Low Activity
2023-02-19 15:13:56,193,Low Activity
2023-02-19 15:14:56,304,Low Activity
2023-02-19 15:15:56,172,Low Activity
2023-02-19 15:16:56,110,Low Activity
2023-02-19 15:17:56,198,Low Activity
2023-02-19 15:18:56,178,Low Activity
2023-02-19 15:19:56,111,Low Activity
2023-02-19 15:20:56,183,Low Activity
2023-02-19 15:21:56,267,Low Activity
2023-02-19 15:22:56,190,Low Activity
2023-02-19 15:23:56,434,Low Activity
2023-02-19 15:24:56,1366,High Activity
2023-02-19 15:25:56,277,Low Activity
2023-02-19 15:26:56,498,Low Activity
2023-02-19 15:27:56,590,Moderate Activity
2023-02-19 15:28:56,690,Moderate Activity
2023-02-19 15:29:56,794,Moderate Activity
2023-02-19 15:30:56,1368,High Activity
2023-02-19 15:31:56,1380,High Activity
2023-02-19 15:32:56,1381,High Activity
2023-02-19 15:33:56,1289,High Activity
2023-02-19 15:34:56,884,Moderate Activity
2023-02-19 15:35:56,845,Moderate Activity
2023-02-19 15:36:56,1332,High Activity
2023-02-19 15:37:56,1344,High Activity
2023-02-19 15:38:56,1327,High Activity
2023-02-19 15:39:56,1339,High Activity
2023-02-19 15:40:56,1351,High Activity
2023-02-19 15:41:56,1332,High Activity
2023-02-19 15:42:56,1270,High Activity
2023-02-19 15:43:56,1156,High Activity
2023-02-19 15:44:56,1342,High Activity
2023-02-19 15:45:56,1331,High Activity
2023-02-19 15:46:56,1250,High Activity
2023-02-19 15:47:56,1317,High Activity
2023-02-19 15:48:56,1362,High Activity
2023-02-19 15:49:56,1374,High Activity
2023-02-19 15:50:56,1359,High Activity
2023-02-19 15:51:56,1364,High Activity
2023-02-19 15:52:56,1391,High Activity
2023-02-19 15:53:56,1347,High Activity
2023-02-19 15:54:56,1367,High Activity
2023-02-19 15:55:56,1328,High Activity
2023-02-19 15:56:56,1388,High Activity
2023-02-19 15:57:56,1346,High Activity
2023-02-19 15:58:56,1319,High Activity
2023-02-19 15:59:56,1358,High Activity
2023-02-19 16:00:56,1380,High Activity
2023-02-19 16:01:56,1374,High Activity
2023-02-19 16:02:56,1369,High Activity
2023-02-19 16:03:56,1385,High Activity
2023-02-19 16:04:56,1385,High Activity
2023-02-19 16:05:56,1381,High Activity
2023-02-19 16:06:56,1335,High Activity
2023-02-19 16:07:56,1259,High Activity
2023-02-19 16:08:56,1351,High Activity
2023-02-19 16:09:56,1385,High Activity
2023-02-19 16:10:56,1341,High Activity
2023-02-19 16:11:56,1240,High Activity
2023-02-19 16:12:56,1049,High Activity
2023-02-19 16:13:56,1090,High Activity
2023-02-19 16:14:56,1044,High Activity
2023-02-19 16:15:56,1030,High Activity
2023-02-19 16:16:56,936,Moderate Activity
2023-02-19 16:17:56,992,Moderate Activity
2023-02-19 16:18:56,881,Moderate Activity
2023-02-19 16:19:56,832,Moderate Activity
2023-02-19 16:20:56,800,Moderate Activity
2023-02-19 16:21:56,715,Moderate Activity
2023-02-19 16:22:56,645,Moderate Activity
2023-02-19 16:23:56,610,Moderate Activity
2023-02-19 16:24:56,613,Moderate Activity
2023-02-19 16:25:56,509,Moderate Activity
2023-02-19 16:26:56,755,Moderate Activity
2023-02-19 16:27:56,1247,High Activity
2023-02-19 16:28:56,1272,High Activity
2023-02-19 16:29:56,1238,High Activity
2023-02-19 16:30:56,1338,High Activity
2023-02-19 16:31:56,1251,High Activity
2023-02-19 16:32:56,1367,High Activity
2023-02-19 16:33:56,1336,High Activity
2023-02-19 16:34:56,1138,High Activity
2023-02-19 16:35:56,1328,High Activity
2023-02-19 16:36:56,1216,High Activity
2023-02-19 16:37:56,1142,High Activity
2023-02-19 16:38:56,1318,High Activity
2023-02-19 16:39:56,1321,High Activity
2023-02-19 16:40:56,705,Moderate Activity
2023-02-19 16:41:56,1249,High Activity
2023-02-19 16:42:56,1103,High Activity
2023-02-19 16:43:56,918,Moderate Activity
2023-02-19 16:44:56,1026,High Activity
2023-02-19 16:45:56,1360,High Activity
2023-02-19 16:46:56,1351,High Activity
2023-02-19 16:47:56,1363,High Activity
2023-02-19 16:48:56,1361,High Activity
2023-02-19 16:49:56,1351,High Activity
2023-02-19 16:50:56,1358,High Activity
2023-02-19 16:51:56,1163,High Activity
2023-02-19 16:52:56,1361,High Activity
2023-02-19 16:53:56,1359,High Activity
2023-02-19 16:54:56,1374,High Activity
2023-02-19 16:55:56,1368,High Activity
2023-02-19 16:56:56,1378,High Activity
2023-02-19 16:57:56,1363,High Activity
2023-02-19 16:58:56,1282,High Activity
2023-02-19 16:59:56,1006,High Activity
2023-02-19 17:00:56,1055,High Activity
2023-02-19 17:01:56,934,Moderate Activity
2023-02-19 17:02:56,826,Moderate Activity
2023-02-19 17:03:56,800,Moderate Activity
2023-02-19 17:04:56,565,Moderate Activity
2023-02-19 17:05:56,662,Moderate Activity
2023-02-19 17:06:56,608,Moderate Activity
2023-02-19 17:07:56,581,Moderate Activity
2023-02-19 17:08:56,625,Moderate Activity
2023-02-19 17:09:56,644,Moderate Activity
2023-02-19 17:10:56,740,Moderate Activity
2023-02-19 17:11:56,1195,High Activity
2023-02-19 17:12:56,1157,High Activity
2023-02-19 17:13:56,1176,High Activity
2023-02-19 17:14:56,1172,High Activity
2023-02-19 17:15:56,1160,High Activity
2023-02-19 17:16:56,1174,High Activity
2023-02-19 17:17:56,1168,High Activity
2023-02-19 17:18:56,1158,High Activity
2023-02-19 17:19:56,1054,High Activity
2023-02-19 17:20:56,1086,High Activity
2023-02-19 17:21:56,1105,High Activity
2023-02-19 17:22:56,1019,High Activity
2023-02-19 17:23:56,1063,High Activity
2023-02-19 17:24:56,1174,High Activity
2023-02-19 17:25:56,994,Moderate Activity
2023-02-19 17:26:56,1064,High Activity
2023-02-19 17:27:56,1028,High Activity
2023-02-19 17:28:56,1033,High Activity
2023-02-19 17:29:56,1106,High Activity
2023-02-19 17:30:56,1119,High Activity
2023-02-19 17:31:56,1031,High Activity
2023-02-19 17:32:56,1148,High Activity
2023-02-19 17:33:56,1105,High Activity
2023-02-19 17:34:56,1052,High Activity
2023-02-19 17:35:56,1079,High Activity
2023-02-19 17:36:56,1018,High Activity
2023-02-19 17:37:56,1050,High Activity
2023-02-19 17:38:56,1063,High Activity
2023-02-19 17:39:56,1181,High Activity
2023-02-19 17:40:56,1321,High Activity
2023-02-19 17:41:56,1361,High Activity
2023-02-19 17:42:56,1359,High Activity
2023-02-19 17:43:56,1354,High Activity
2023-02-19 17:44:56,1367,High Activity
2023-02-19 17:45:56,1367,High Activity
2023-02-19 17:46:56,1366,High Activity
2023-02-19 17:47:56,1370,High Activity
2023-02-19 17:48:56,1366,High Activity
2023-02-19 17:49:56,1366,High Activity
2023-02-19 17:50:56,1357,High Activity
2023-02-19 17:51:56,1371,High Activity
2023-02-19 17:52:56,1359,High Activity
2023-02-19 17:53:56,1358,High Activity
2023-02-19 17:54:56,1373,High Activity
2023-02-19 17:55:56,1375,High Activity
2023-02-19 17:56:56,1374,High Activity
2023-02-19 17:57:56,1360,High Activity
2023-02-19 17:58:56,1370,High Activity
2023-02-19 17:59:56,1370,High Activity
2023-02-19 18:00:56,1355,High Activity
2023-02-19 18:01:56,1088,High Activity
2023-02-19 18:02:56,1319,High Activity
2023-02-19 18:03:56,1373,High Activity
2023-02-19 18:04:56,1370,High Activity
2023-02-19 18:05:56,1364,High Activity
2023-02-19 18:06:56,1336,High Activity
